言葉,話されている国（国旗）,日本語読み,日本語の意味
侘び寂び,🇯🇵,わびさび,不完全さや儚さの美
木漏れ日,🇯🇵,こもれび,木々の葉のすき間から差し込む日の光
幽玄,🇯🇵,ゆうげん,奥深くはっきりしない趣がある美
つむじ風,🇯🇵,つむじかぜ,小さな渦巻き状の風のこと
雫,🇯🇵,しずく,水滴ひと粒。雰囲気のある言葉
風雅,🇯🇵,ふうが,上品で風流な趣
慢慢来,🇨🇳,マンマンライ,焦らずゆっくりと。暮らしでよく使う
加油,🇨🇳,ジアヨウ,がんばって！の応援フレーズ
缘分,🇨🇳,ユァンフェン,人や縁を感じさせる運命的なつながり
落俗,🇨🇳,ルオスー,俗世間に染まる、という表現
小确幸,🇨🇳,シャオチェシン,小さな確かな幸せ
安心,🇨🇳,アンシン,心が安らぐ状態
Serendipity,🇺🇸,セレンディピティ,偶然に幸運を見つける才能や出来事
Epiphany,🇺🇸,エピファニー,ふとした悟りや閃き
Euphoria,🇺🇸,ユーフォリア,とても幸せで多幸感に包まれた状態
Murmur,🇺🇸,マーマー,小声のささやき
Whisper,🇺🇸,ウィスパー,小声で、柔らかく語る声
Lullaby,🇺🇸,ララバイ,子守唄
Dépaysement,🇫🇷,デペイゾマン,非日常感、新鮮さ
Flâner,🇫🇷,フラネ,街をぶらぶら散歩する楽しみ
Chuchoter,🇫🇷,シュショテ,ひそひそ話す、ささやく
Éphémère,🇫🇷,エフェメール,はかない、短い
Rêverie,🇫🇷,レヴリ,夢想、ぼんやりと思いを巡らせること
Douceur,🇫🇷,ドゥスール,優しさ、柔らかさ
Shundor,🇧🇩,シャンドル,美しい
Golpo,🇧🇩,ゴルポ,物語、ストーリー
Haashi,🇧🇩,ハーシ,笑い、微笑
Cholo,🇧🇩,チョロ,行こう（親しみを込めて使う）
Raag,🇧🇩,ラーグ,怒り。感情を込めた強い言い方
Khali,🇧🇩,カーリ,空っぽ、空虚。地名にも登場する表現
Furaha,🇹🇿,フラハ,喜び、楽しい気持ち
Hakuna matata,🇹🇿,ハクナ・マタタ,心配ないさ、問題なし
Amani,🇹🇿,アマニ,平和、落ち着き
Upepo,🇹🇿,ウペポ,そよ風
Bomba!,🇹🇿,ボンバ！,とても良い！すごい！
